"filename", "language", "Markdown", "HTML", "JavaScript", "C#", "XML", "JavaScript JSX", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\MaxEk\repos\react-project\client\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\MaxEk\repos\react-project\client\eslint.config.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\MaxEk\repos\react-project\client\index.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\MaxEk\repos\react-project\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4364, 0, 1, 4365
"c:\Users\MaxEk\repos\react-project\client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\Users\MaxEk\repos\react-project\client\public\data.js", "JavaScript", 0, 0, 4807, 0, 0, 0, 0, 0, 0, 1, 4808
"c:\Users\MaxEk\repos\react-project\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\MaxEk\repos\react-project\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\MaxEk\repos\react-project\client\src\components\AnimalList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 1, 2, 16
"c:\Users\MaxEk\repos\react-project\client\src\components\Backoffice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 2, 10, 97
"c:\Users\MaxEk\repos\react-project\client\src\components\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\MaxEk\repos\react-project\client\src\components\CardGenerator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 5, 93
"c:\Users\MaxEk\repos\react-project\client\src\components\CardInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\MaxEk\repos\react-project\client\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\MaxEk\repos\react-project\client\src\components\GuessingGame.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\MaxEk\repos\react-project\client\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
"c:\Users\MaxEk\repos\react-project\client\src\components\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 2, 5, 52
"c:\Users\MaxEk\repos\react-project\client\src\components\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 11, 123
"c:\Users\MaxEk\repos\react-project\client\src\components\LoopChallenge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"c:\Users\MaxEk\repos\react-project\client\src\components\MainContentExercise.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 4, 7, 85
"c:\Users\MaxEk\repos\react-project\client\src\components\MultipleButtonClick.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\MaxEk\repos\react-project\client\src\components\NameListWithButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 1, 4, 28
"c:\Users\MaxEk\repos\react-project\client\src\components\PokemonTrade.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 6, 46
"c:\Users\MaxEk\repos\react-project\client\src\components\ProductTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\MaxEk\repos\react-project\client\src\components\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 16, 10, 85
"c:\Users\MaxEk\repos\react-project\client\src\components\RealtimeInputField.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 8, 33
"c:\Users\MaxEk\repos\react-project\client\src\components\SimpleButtonClick.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\MaxEk\repos\react-project\client\src\components\Support.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 1, 8, 131
"c:\Users\MaxEk\repos\react-project\client\src\components\utilProtectRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\MaxEk\repos\react-project\client\src\context\UserContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 10, 52
"c:\Users\MaxEk\repos\react-project\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 311, 0, 6, 55, 372
"c:\Users\MaxEk\repos\react-project\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\MaxEk\repos\react-project\client\vite.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\MaxEk\repos\react-project\server\Company.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\MaxEk\repos\react-project\server\Database.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\MaxEk\repos\react-project\server\Issue.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\MaxEk\repos\react-project\server\IssueRequest.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\MaxEk\repos\react-project\server\ProductRequest.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\MaxEk\repos\react-project\server\Program.cs", "C#", 0, 0, 0, 211, 0, 0, 0, 0, 6, 35, 252
"c:\Users\MaxEk\repos\react-project\server\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"c:\Users\MaxEk\repos\react-project\server\User.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\MaxEk\repos\react-project\server\UserRequest.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\MaxEk\repos\react-project\server\UserView.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\MaxEk\repos\react-project\server\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\MaxEk\repos\react-project\server\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\MaxEk\repos\react-project\server\server.csproj", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"Total", "-", 5, 12, 4855, 335, 10, 999, 319, 4435, 41, 261, 11272